janela_dias,ranking_tipo,instituicao,pos,h3_cell,lat,lon,score,cnt_ocorrencias,cnt_denuncias,cnt_fatores,cnt_cameras
3,GM-Rio,Guarda Municipal do Rio de Janeiro,7,88a8a07469fffff,-23.012162,-43.438228,35.0,0.0,1.0,0.0,0.0
3,GM-Rio,Guarda Municipal do Rio de Janeiro,8,88a8a07885fffff,-22.954849,-43.187869,27.857143,1.0,0.0,25.0,27.0
3,GM-Rio,Guarda Municipal do Rio de Janeiro,9,88a8a078abfffff,-22.947175,-43.184612,26.428571,0.0,0.0,37.0,48.0
3,GM-Rio,Guarda Municipal do Rio de Janeiro,10,88a8a0719bfffff,-23.009078,-43.3152,21.428571,1.0,0.0,16.0,0.0
3,RioLuz,Rio Luz (Iluminação Pública),1,88a8a07885fffff,-22.954849,-43.187869,85.0,1.0,0,45.0,27.0
3,RioLuz,Rio Luz (Iluminação Pública),2,88a8a078a3fffff,-22.9395,-43.181355,72.0,2.0,0,27.0,58.0
3,RioLuz,Rio Luz (Iluminação Pública),3,88a8a078a9fffff,-22.953522,-43.178615,62.222222,0.0,0,40.0,46.0
3,RioLuz,Rio Luz (Iluminação Pública),4,88a8a07ab7fffff,-22.98052,-43.216147,57.555556,0.0,0,37.0,20.0
3,RioLuz,Rio Luz (Iluminação Pública),5,88a8a078abfffff,-22.947175,-43.184612,56.0,0.0,0,36.0,48.0
3,RioLuz,Rio Luz (Iluminação Pública),6,88a8a061c1fffff,-22.888967,-43.281576,52.333333,1.0,0,24.0,0.0
3,RioLuz,Rio Luz (Iluminação Pública),7,88a8a06085fffff,-22.875184,-43.336565,47.666667,1.0,0,21.0,0.0
3,RioLuz,Rio Luz (Iluminação Pública),8,88a8a061cdfffff,-22.895321,-43.275582,42.0,0.0,0,27.0,0.0
3,RioLuz,Rio Luz (Iluminação Pública),9,88a8a06087fffff,-22.868826,-43.342559,35.222222,1.0,0,13.0,0.0
3,RioLuz,Rio Luz (Iluminação Pública),10,88a8a06161fffff,-22.923107,-43.217849,30.555556,1.0,0,10.0,14.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,1,88a8a061cdfffff,-22.895321,-43.275582,70.0,0.0,0.0,63.0,0.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,2,88a8a07885fffff,-22.954849,-43.187869,55.555556,1.0,0.0,41.0,27.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,3,88a8a061c1fffff,-22.888967,-43.281576,38.888889,1.0,0.0,26.0,0.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,4,88a8a078a3fffff,-22.9395,-43.181355,33.333333,2.0,0.0,12.0,58.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,5,88a8a06085fffff,-22.875184,-43.336565,30.0,1.0,0.0,18.0,0.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,6,88a8a061ebfffff,-22.879965,-43.269067,30.0,0.0,0.0,27.0,0.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,7,88a8a078a9fffff,-22.953522,-43.178615,28.888889,0.0,0.0,26.0,46.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,8,88a8a061c7fffff,-22.881288,-43.278319,27.777778,1.0,0.0,16.0,0.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,9,88a8a06161fffff,-22.923107,-43.217849,26.666667,1.0,0.0,15.0,14.0
3,COMLURB,Companhia Municipal de Limpeza Urbana,10,88a8a078c9fffff,-22.98554,-43.200897,26.666667,0.0,0.0,24.0,0.0
3,SEOP,Secretaria de Ordem Pública,1,88a8a06085fffff,-22.875184,-43.336565,52.5,1.0,0.0,38.0,0.0
3,SEOP,Secretaria de Ordem Pública,2,88a8a07469fffff,-23.012162,-43.438228,40.0,0.0,1.0,0.0,0.0
3,SEOP,Secretaria de Ordem Pública,3,88a8a06757fffff,-22.888358,-43.429079,40.0,0.0,1.0,0.0,0.0
3,SEOP,Secretaria de Ordem Pública,4,88a8a06087fffff,-22.868826,-43.342559,38.289474,1.0,0.0,26.0,0.0
3,SEOP,Secretaria de Ordem Pública,5,88a8a078c9fffff,-22.98554,-43.200897,24.868421,0.0,0.0,21.0,0.0
3,SEOP,Secretaria de Ordem Pública,6,88a8a078a3fffff,-22.9395,-43.181355,19.736842,2.0,0.0,4.0,58.0
3,SEOP,Secretaria de Ordem Pública,7,88a8a061c7fffff,-22.881288,-43.278319,16.973684,1.0,0.0,8.0,0.0
3,SEOP,Secretaria de Ordem Pública,8,88a8a078e1fffff,-22.967542,-43.175876,16.578947,0.0,0.0,14.0,0.0
3,SEOP,Secretaria de Ordem Pública,9,88a8a078a9fffff,-22.953522,-43.178615,16.578947,0.0,0.0,14.0,46.0
3,SEOP,Secretaria de Ordem Pública,10,88a8a061ddfffff,-22.883934,-43.296822,15.0,2.0,0.0,0.0,0.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,1,88a8a06085fffff,-22.875184,-43.336565,70.0,1.0,0.0,34.0,0.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,2,88a8a078c9fffff,-22.98554,-43.200897,59.264706,0.0,0.0,31.0,0.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,3,88a8a06087fffff,-22.868826,-43.342559,50.882353,1.0,0.0,24.0,0.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,4,88a8a0291dfffff,-22.899035,-43.555333,32.5,0.0,0.0,17.0,20.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,5,88a8a078a9fffff,-22.953522,-43.178615,32.5,0.0,0.0,17.0,46.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,6,88a8a078abfffff,-22.947175,-43.184612,32.5,0.0,0.0,17.0,48.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,7,88a8a07885fffff,-22.954849,-43.187869,31.764706,1.0,0.0,14.0,27.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,8,88a8a02957fffff,-22.906705,-43.558594,30.588235,0.0,0.0,16.0,6.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,9,88a8a06161fffff,-22.923107,-43.217849,29.852941,1.0,0.0,13.0,14.0
3,CET-Rio,Companhia de Engenharia de Tráfego do Rio,10,88a8a078a3fffff,-22.9395,-43.181355,27.205882,2.0,0.0,9.0,58.0
7,geral,,1,88a8a0610dfffff,-22.918083,-43.233097,57.542373,9.0,0.0,15.0,0.0
7,geral,,2,88a8a06085fffff,-22.875184,-43.336565,51.421846,4.0,0.0,110.0,0.0
7,geral,,3,88a8a06147fffff,-22.925759,-43.236354,51.111111,7.0,1.0,0.0,0.0
7,geral,,4,88a8a06087fffff,-22.868826,-43.342559,50.781544,5.0,0.0,80.0,0.0
7,geral,,5,88a8a078abfffff,-22.947175,-43.184612,49.078187,4.0,2.0,86.0,48.0
7,geral,,6,88a8a061ddfffff,-22.883934,-43.296822,47.222222,5.0,2.0,0.0,0.0
7,geral,,7,88a8a06a55fffff,-22.911449,-43.186833,45.231509,7.0,0.0,6.0,11.0
7,geral,,8,88a8a06a43fffff,-22.917798,-43.180837,41.666667,6.0,0.0,0.0,0.0
7,geral,,9,88a8a06a09fffff,-22.91012,-43.17758,41.379635,8.0,0.0,13.0,66.0
7,geral,,10,88a8a06027fffff,-22.902998,-43.278839,41.299435,3.0,1.0,47.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,1,88a8a0610dfffff,-22.918083,-43.233097,61.333333,9.0,0.0,2.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,2,88a8a06147fffff,-22.925759,-43.236354,56.388889,7.0,1.0,0.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,3,88a8a061ddfffff,-22.883934,-43.296822,52.777778,5.0,2.0,0.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,4,88a8a06087fffff,-22.868826,-43.342559,47.777778,5.0,0.0,15.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,5,88a8a06a55fffff,-22.911449,-43.186833,47.624521,7.0,0.0,0.0,11.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,6,88a8a06a09fffff,-22.91012,-43.17758,46.858238,8.0,0.0,0.0,66.0
